TestCase#              Description#            Result#
TestCase 1  filters id 1 PASSED
TestCase 2  filters id 2 PASSED
TestCase 3  filters id 3 PASSED
TestCase 4  filters id 4 PASSED
TestCase 5  filters id 5 PASSED
TestCase 6  filters id 6 PASSED
TestCase 7  filters id 7 PASSED
TestCase 8  filters id 8 PASSED
TestCase 9  filters id 9 PASSED
TestCase 10  filters id 10 PASSED
TestCase 11  filters id 11 PASSED
TestCase 12  filters id 12 PASSED
TestCase 13  filters id 13 PASSED
TestCase 14  filters id 14 PASSED
TestCase 15  filters id 15 PASSED
TestCase 16  filters id 16 PASSED
TestCase 17  filters id 17 PASSED
TestCase 18  filters id 18 PASSED
TestCase 19  filters id 19 PASSED
TestCase 20  filters id 20 PASSED
TestCase 21  filters CORPORATEIDENTIFICATIONNUMBER 1 PASSED
TestCase 22  filters CORPORATEIDENTIFICATIONNUMBER 2 PASSED
TestCase 23  filters CORPORATEIDENTIFICATIONNUMBER 3 PASSED
TestCase 24  filters CORPORATEIDENTIFICATIONNUMBER 4 PASSED
TestCase 25  filters CORPORATEIDENTIFICATIONNUMBER 5 PASSED
TestCase 26  filters CORPORATEIDENTIFICATIONNUMBER 6 PASSED
TestCase 27  filters CORPORATEIDENTIFICATIONNUMBER 7 PASSED
TestCase 28  filters CORPORATEIDENTIFICATIONNUMBER 8 PASSED
TestCase 29  filters CORPORATEIDENTIFICATIONNUMBER 9 PASSED
TestCase 30  filters CORPORATEIDENTIFICATIONNUMBER 10 PASSED
TestCase 31  filters CORPORATEIDENTIFICATIONNUMBER 11 PASSED
TestCase 32  filters CORPORATEIDENTIFICATIONNUMBER 12 PASSED
TestCase 33  filters CORPORATEIDENTIFICATIONNUMBER 13 PASSED
TestCase 34  filters CORPORATEIDENTIFICATIONNUMBER 14 PASSED
TestCase 35  filters CORPORATEIDENTIFICATIONNUMBER 15 PASSED
TestCase 36  filters CORPORATEIDENTIFICATIONNUMBER 16 PASSED
TestCase 37  filters CORPORATEIDENTIFICATIONNUMBER 17 PASSED
TestCase 38  filters CORPORATEIDENTIFICATIONNUMBER 18 PASSED
TestCase 39  filters CORPORATEIDENTIFICATIONNUMBER 19 PASSED
TestCase 40  filters CORPORATEIDENTIFICATIONNUMBER 20 PASSED
TestCase Offset FAILED
TestCase 42  fields id PASSED
TestCase 43  fields timestamp PASSED
TestCase 44  fields CORPORATEIDENTIFICATIONNUMBER PASSED
TestCase 45  fields DATEOFREGISTRATION PASSED
TestCase 46  fields COMPANYNAME PASSED
TestCase 47  fields COMPANYSTATUS PASSED
TestCase 48  fields COMPANYCLASS PASSED
TestCase 49  fields COMPANYCATEGORY PASSED
TestCase 50  fields AUTHORIZEDCAPITAL PASSED
TestCase 51  fields PAIDUPCAPITAL PASSED
TestCase 52  fields REGISTEREDSTATE PASSED
TestCase 53  fields REGISTRAROFCOMPANIES PASSED
TestCase 54  fields PRINCIPALBUSINESSACTIVITY PASSED
TestCase 55  fields REGISTEREDOFFICEADDRESS PASSED
TestCase 56  fields SUBCATEGORY PASSED
TestCase 57  fields multiple fields id,timestamp,COMPANYNAME PASSED
TestCase 58  sorting id PASSED
TestCase 59  sorting timestamp PASSED
TestCase 60  sorting CORPORATEIDENTIFICATIONNUMBER PASSED
TestCase 61  sorting DATEOFREGISTRATION PASSED
TestCase 62  sorting COMPANYNAME PASSED
TestCase 63  sorting COMPANYSTATUS PASSED
TestCase 64  sorting COMPANYCLASS PASSED
TestCase 65  sorting COMPANYCATEGORY PASSED
TestCase 66  sorting AUTHORIZEDCAPITAL PASSED
TestCase 67  sorting PAIDUPCAPITAL PASSED
TestCase 68  sorting multiple fields AUTHORIZEDCAPITAL,COMPANYNAME PASSED
TestCase 69  Limit FAILED
